Name,X,Y,Angle,Value,Package
BOOT_BUTTON,24.13,108.91,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,22.57,75.60,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT,49.53,34.91,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,113.67,50.67,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,125.10,14.35,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,149.99,17.40,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,137.16,22.10,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,124.97,38.23,0.00,"100uF TANT",RCL_CT3528
C4_USB,105.41,58.42,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,51.44,34.93,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB2,1.91,74.30,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB3,82.19,19.65,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB4,92.08,38.33,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,96.52,50.16,270.00,CPH3225A,CAPCP3225X100N
C8,96.90,46.99,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64.14,108.91,180.00,CHANGE_BUTTON,MYBUTTON
COND_BOOT,28.79,109.40,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
COND_CHANGE,59.18,107.50,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
COND_RESET,53.34,108.55,270.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C_DELAY,50.16,104.78,180.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,144.15,54.61,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,20.83,45.21,270.00,PGB1010603MR,DIOC1608X36N
D11,94.62,22.86,0.00,PGB1010603MR,DIOC1608X36N
D12,59.05,46.99,270.00,PGB1010603MR,DIOC1608X36N
D2,135.89,46.36,180.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,96.27,32.38,180.00,MBR0530,SOD3716X135N
D4,96.29,28.83,0.00,MBR0530,SOD3716X135N
D5,78.77,38.00,180.00,MBR0530,SOD3716X135N
D6,87.00,64.77,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D7,62.23,46.99,90.00,PGB1010603MR,DIOC1608X36N
D8,81.15,45.09,90.00,PGB1010603MR,DIOC1608X36N
D9,65.41,46.99,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,89.66,19.72,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,75.77,19.81,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,73.41,19.69,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,72.01,19.69,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,88.53,19.72,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,79.89,22.23,180.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,85.09,19.69,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,81.03,19.63,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,79.60,19.63,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,77.47,19.69,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1,116.84,52.07,0.00,XC6220A331MR-G,SOT95P280X120-5N
IC3,48.26,101.60,0.00,BD5229G-TR,SOT95P280X125-5N
J1,165.93,54.31,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J2,9.09,88.86,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
J3,83.19,13.30,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J4,167.16,19.20,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
L1,87.63,36.20,270.00,68uH,IND_4828-WE-TPC_WRE
LED1,114.71,64.97,270.00,,ADAFRUIT_CHIP-LED0603
PFMF.050.1,143.89,46.23,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,131.50,43.82,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,76.20,31.75,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
Q3,43.77,69.22,90.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R1,65.41,38.73,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,42.55,73.03,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R11,10.79,102.23,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R12,12.70,102.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R13,11.68,41.53,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R14,34.29,59.69,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R15,84.58,23.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R16,59.05,58.42,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,131.57,62.87,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,62.23,66.04,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,160.02,51.99,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB2,160.02,57.53,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,135.89,48.90,180.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,43.18,47.63,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,87.00,27.30,270.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,92.38,14.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,93.19,20.40,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,18.79,41.38,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,33.66,67.31,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,20.73,75.66,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.90,108.91,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,19.69,107.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,95.25,60.96,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,68.48,105.70,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,42.64,101.73,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,82.55,27.30,90.00,,SJ
TP1,10.03,76.20,0.00,TPTP20R,TP20R
TP10,65.41,32.91,0.00,TPTP20R,TP20R
TP11,25.78,25.91,0.00,TPTP20R,TP20R
TP12,17.14,72.26,0.00,TPTP20R,TP20R
TP13,20.85,72.26,0.00,TPTP20R,TP20R
TP14,45.09,36.83,0.00,TPTP20R,TP20R
TP15,52.07,51.44,0.00,TPTP20R,TP20R
TP16,75.56,66.04,0.00,TPTP20R,TP20R
TP17,87.50,30.48,0.00,TPTP20R,TP20R
TP2,12.92,76.20,0.00,TPTP20R,TP20R
TP3,141.22,21.59,0.00,TPTP20R,TP20R
TP4,21.97,25.91,0.00,TPTP20R,TP20R
TP5,18.29,25.78,0.00,TPTP20R,TP20R
TP6,6.35,102.87,0.00,TPTP20R,TP20R
TP7,15.84,76.34,0.00,TPTP20R,TP20R
TP8,6.10,76.20,0.00,TPTP20R,TP20R
TP9,41.91,36.83,0.00,TPTP20R,TP20R
U1,130.18,50.16,180.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,16.33,57.15,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,154.31,19.06,180.00,BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U4,131.95,20.32,180.00,MAX17048G+T10,SON50P200X200X80-9N
U5,83.19,55.25,270.00,DS3231SN#,SOIC127P1032X265-16N
U6,43.18,59.69,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
